,district,rooms,size,level,max_levels,price,rooms_size,size_level,avarege_level
0,Юнусабадский,3,57.0,4,4,52000.0,19.0,14.25,1.0
1,Яккасарайский,2,52.0,4,5,56000.0,26.0,13.0,0.8
2,Чиланзарский,2,42.0,4,4,37000.0,21.0,10.5,1.0
3,Чиланзарский,3,65.0,1,4,49500.0,21.666666666666668,65.0,0.25
4,Чиланзарский,3,70.0,3,5,55000.0,23.333333333333332,23.333333333333332,0.6
5,Чиланзарский,1,28.0,1,4,25500.0,28.0,28.0,0.25
6,Чиланзарский,1,30.0,2,4,21200.0,30.0,15.0,0.5
7,Яккасарайский,2,32.0,5,5,20000.0,16.0,6.4,1.0
8,Учтепинский,2,51.0,3,4,26200.0,25.5,17.0,0.75
9,Чиланзарский,1,30.0,1,4,22200.0,30.0,30.0,0.25
10,Учтепинский,2,30.0,2,5,24200.0,15.0,15.0,0.4
11,Чиланзарский,3,67.0,2,5,30200.0,22.333333333333332,33.5,0.4
12,Чиланзарский,1,30.0,2,4,21200.0,30.0,15.0,0.5
13,Чиланзарский,1,30.0,2,4,21200.0,30.0,15.0,0.5
14,Чиланзарский,1,30.0,2,4,21200.0,30.0,15.0,0.5
15,Чиланзарский,1,35.0,1,5,22500.0,35.0,35.0,0.2
16,Чиланзарский,1,43.0,4,4,22500.0,43.0,10.75,1.0
17,Чиланзарский,2,51.0,2,4,21200.0,25.5,25.5,0.5
18,Мирзо-Улугбекский,3,65.0,1,4,32500.0,21.666666666666668,65.0,0.25
19,Чиланзарский,2,51.0,2,4,22200.0,25.5,25.5,0.5
20,Чиланзарский,2,51.0,2,4,24200.0,25.5,25.5,0.5
21,Яккасарайский,4,90.0,5,5,45000.0,22.5,18.0,1.0
22,Чиланзарский,4,80.0,3,4,56000.0,20.0,26.666666666666668,0.75
23,Яшнободский,2,70.0,5,5,47000.0,35.0,14.0,1.0
24,Мирзо-Улугбекский,3,69.0,1,4,49900.0,23.0,69.0,0.25
25,Мирабадский,3,80.0,2,4,76000.0,26.666666666666668,40.0,0.5
26,Учтепинский,3,96.0,3,4,65000.0,32.0,32.0,0.75
27,Учтепинский,4,76.0,4,4,47500.0,19.0,19.0,1.0
28,Учтепинский,2,45.0,4,5,30000.0,22.5,11.25,0.8
29,Чиланзарский,1,27.0,3,4,32000.0,27.0,9.0,0.75
30,Учтепинский,2,65.0,3,9,44000.0,32.5,21.666666666666668,0.3333333333333333
31,Чиланзарский,2,64.0,3,4,56500.0,32.0,21.333333333333332,0.75
32,Чиланзарский,1,42.0,5,9,35000.0,42.0,8.4,0.5555555555555556
33,Чиланзарский,1,26.0,2,4,23500.0,26.0,13.0,0.5
34,Учтепинский,4,76.0,5,5,60500.0,19.0,15.2,1.0
35,Чиланзарский,3,80.0,2,4,68000.0,26.666666666666668,40.0,0.5
36,Чиланзарский,3,72.0,5,5,41500.0,24.0,14.4,1.0
37,Учтепинский,4,100.0,3,12,55000.0,25.0,33.333333333333336,0.25
38,Учтепинский,3,65.0,4,4,44000.0,21.666666666666668,16.25,1.0
39,Учтепинский,4,80.0,3,4,52500.0,20.0,26.666666666666668,0.75
40,Учтепинский,3,72.0,6,9,43000.0,24.0,12.0,0.6666666666666666
41,Мирабадский,2,65.0,1,4,80000.0,32.5,65.0,0.25
42,Яккасарайский,2,63.0,1,5,42000.0,31.5,63.0,0.2
43,Яккасарайский,2,48.0,5,9,23000.0,24.0,9.6,0.5555555555555556
44,Юнусабадский,3,70.0,3,4,47000.0,23.333333333333332,23.333333333333332,0.75
45,Яккасарайский,3,102.0,7,12,88784.0,34.0,14.571428571428571,0.5833333333333334
46,Учтепинский,4,78.0,2,4,65000.0,19.5,39.0,0.5
47,Чиланзарский,4,100.0,1,4,97000.0,25.0,100.0,0.25
48,Чиланзарский,1,34.0,1,4,28500.0,34.0,34.0,0.25
49,Чиланзарский,2,42.0,2,4,34500.0,21.0,21.0,0.5
50,Учтепинский,4,80.0,4,5,51000.0,20.0,20.0,0.8
51,Учтепинский,3,90.0,1,12,51000.0,30.0,90.0,0.08333333333333333
52,Чиланзарский,2,45.0,2,4,48000.0,22.5,22.5,0.5
53,Чиланзарский,3,70.0,5,5,40000.0,23.333333333333332,14.0,1.0
54,Чиланзарский,4,96.0,7,9,67000.0,24.0,13.714285714285714,0.7777777777777778
55,Учтепинский,4,80.0,4,5,68000.0,20.0,20.0,0.8
56,Учтепинский,2,63.0,1,4,40500.0,31.5,63.0,0.25
57,Учтепинский,2,56.0,4,5,54000.0,28.0,14.0,0.8
58,Учтепинский,2,52.0,1,4,36000.0,26.0,52.0,0.25
59,Учтепинский,3,98.0,2,4,68000.0,32.666666666666664,49.0,0.5
60,Чиланзарский,3,96.0,9,9,63000.0,32.0,10.666666666666666,1.0
61,Шайхантахурский,4,93.0,4,4,63500.0,23.25,23.25,1.0
62,Шайхантахурский,2,60.0,9,9,49500.0,30.0,6.666666666666667,1.0
63,Чиланзарский,5,82.0,4,4,70000.0,16.4,20.5,1.0
64,Учтепинский,5,120.0,9,9,52000.0,24.0,13.333333333333334,1.0
65,Учтепинский,4,110.0,3,3,91000.0,27.5,36.666666666666664,1.0
66,Чиланзарский,4,95.0,2,4,83000.0,23.75,47.5,0.5
67,Учтепинский,2,56.0,1,4,40500.0,28.0,56.0,0.25
68,Чиланзарский,3,68.0,3,4,48000.0,22.666666666666668,22.666666666666668,0.75
69,Олмазорский,2,57.0,3,4,42000.0,28.5,19.0,0.75
70,Яшнободский,1,46.0,11,11,19765.0,46.0,4.181818181818182,1.0
71,Чиланзарский,2,45.0,4,4,34500.0,22.5,11.25,1.0
72,Юнусабадский,2,40.0,1,9,40000.0,20.0,40.0,0.1111111111111111
73,Мирзо-Улугбекский,3,95.0,5,5,50000.0,31.666666666666668,19.0,1.0
74,Юнусабадский,2,53.0,1,9,68000.0,26.5,53.0,0.1111111111111111
75,Олмазорский,2,72.0,4,9,41500.0,36.0,18.0,0.4444444444444444
76,Мирзо-Улугбекский,3,65.0,4,5,41500.0,21.666666666666668,16.25,0.8
77,Юнусабадский,4,82.0,1,4,86000.0,20.5,82.0,0.25
78,Чиланзарский,1,42.0,3,9,25500.0,42.0,14.0,0.3333333333333333
79,Чиланзарский,2,54.0,4,4,31500.0,27.0,13.5,1.0
80,Чиланзарский,1,42.0,1,4,26500.0,42.0,42.0,0.25
81,Учтепинский,1,20.0,3,9,14500.0,20.0,6.666666666666667,0.3333333333333333
82,Чиланзарский,2,45.0,4,4,45000.0,22.5,11.25,1.0
83,Чиланзарский,1,46.0,2,5,30000.0,46.0,23.0,0.4
84,Чиланзарский,2,50.0,2,4,34500.0,25.0,25.0,0.5
85,Чиланзарский,1,36.0,2,4,27000.0,36.0,18.0,0.5
86,Учтепинский,4,80.0,6,9,59500.0,20.0,13.333333333333334,0.6666666666666666
87,Учтепинский,3,72.0,3,9,48000.0,24.0,24.0,0.3333333333333333
88,Учтепинский,4,78.0,5,5,47299.0,19.5,15.6,1.0
89,Чиланзарский,2,46.0,4,5,37000.0,23.0,11.5,0.8
90,Чиланзарский,2,60.0,2,4,38000.0,30.0,30.0,0.5
91,Олмазорский,2,58.0,5,9,29500.0,29.0,11.6,0.5555555555555556
92,Чиланзарский,2,70.0,2,7,56000.0,35.0,35.0,0.2857142857142857
93,Яккасарайский,2,68.0,6,9,45000.0,34.0,11.333333333333334,0.6666666666666666
94,Учтепинский,4,100.0,3,5,61500.0,25.0,33.333333333333336,0.6
95,Чиланзарский,3,68.0,5,5,46500.0,22.666666666666668,13.6,1.0
96,Учтепинский,3,70.0,4,12,51000.0,23.333333333333332,17.5,0.3333333333333333
97,Чиланзарский,3,90.0,5,9,58400.0,30.0,18.0,0.5555555555555556
98,Чиланзарский,3,60.0,5,5,47000.0,20.0,12.0,1.0
99,Учтепинский,4,80.0,5,5,52500.0,20.0,16.0,1.0
100,Учтепинский,3,74.0,3,5,50000.0,24.666666666666668,24.666666666666668,0.6
101,Чиланзарский,2,48.0,2,5,41500.0,24.0,24.0,0.4
102,Чиланзарский,4,94.0,9,9,45000.0,23.5,10.444444444444445,1.0
103,Учтепинский,3,65.0,4,9,47500.0,21.666666666666668,16.25,0.4444444444444444
104,Чиланзарский,4,85.0,3,4,52500.0,21.25,28.333333333333332,0.75
105,Учтепинский,1,42.0,5,5,26000.0,42.0,8.4,1.0
106,Чиланзарский,4,110.0,3,4,105000.0,27.5,36.666666666666664,0.75
107,Учтепинский,3,70.0,4,4,42000.0,23.333333333333332,17.5,1.0
108,Чиланзарский,3,68.0,2,5,53500.0,22.666666666666668,34.0,0.4
109,Яккасарайский,2,48.0,5,9,23000.0,24.0,9.6,0.5555555555555556
110,Яшнободский,1,20.0,3,3,12500.0,20.0,6.666666666666667,1.0
111,Мирабадский,3,110.0,4,7,107000.0,36.666666666666664,27.5,0.5714285714285714
112,Чиланзарский,2,46.0,3,4,35000.0,23.0,15.333333333333334,0.75
113,Чиланзарский,4,125.0,5,5,70000.0,31.25,25.0,1.0
114,Мирзо-Улугбекский,2,72.0,18,19,55000.0,36.0,4.0,0.9473684210526315
115,Мирзо-Улугбекский,2,64.67,7,9,39414.0,32.335,9.23857142857143,0.7777777777777778
116,Юнусабадский,2,70.0,4,9,60000.0,35.0,17.5,0.4444444444444444
117,Юнусабадский,1,50.0,7,9,37000.0,50.0,7.142857142857143,0.7777777777777778
118,Мирзо-Улугбекский,2,51.0,2,4,49000.0,25.5,25.5,0.5
119,Мирзо-Улугбекский,1,22.0,1,2,18000.0,22.0,22.0,0.5
120,Чиланзарский,2,54.0,1,4,42500.0,27.0,54.0,0.25
121,Чиланзарский,1,30.0,3,5,34500.0,30.0,10.0,0.6
122,Чиланзарский,1,42.0,5,9,37000.0,42.0,8.4,0.5555555555555556
123,Яккасарайский,3,70.0,2,4,70000.0,23.333333333333332,35.0,0.5
124,Шайхантахурский,3,68.0,2,4,45800.0,22.666666666666668,34.0,0.5
125,Чиланзарский,1,30.0,4,4,24000.0,30.0,7.5,1.0
126,Учтепинский,1,52.0,1,4,58000.0,52.0,52.0,0.25
127,Чиланзарский,4,72.0,4,4,55500.0,18.0,18.0,1.0
128,Чиланзарский,4,76.0,2,4,68000.0,19.0,38.0,0.5
129,Учтепинский,2,48.0,4,4,31000.0,24.0,12.0,1.0
130,Чиланзарский,2,66.0,3,9,47000.0,33.0,22.0,0.3333333333333333
131,Чиланзарский,3,60.0,3,5,47000.0,20.0,20.0,0.6
132,Чиланзарский,2,37.0,1,4,41000.0,18.5,37.0,0.25
133,Мирзо-Улугбекский,1,40.0,3,4,24000.0,40.0,13.333333333333334,0.75
134,Юнусабадский,2,61.0,1,4,55000.0,30.5,61.0,0.25
135,Чиланзарский,1,32.0,2,4,28500.0,32.0,16.0,0.5
136,Чиланзарский,3,65.0,4,4,42000.0,21.666666666666668,16.25,1.0
137,Учтепинский,3,66.0,2,5,67000.0,22.0,33.0,0.4
138,Чиланзарский,3,70.0,4,4,46500.0,23.333333333333332,17.5,1.0
139,Чиланзарский,3,66.0,4,4,50500.0,22.0,16.5,1.0
140,Учтепинский,3,65.0,1,4,40000.0,21.666666666666668,65.0,0.25
